name,artist,album,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
A Sky Full of Stars,Coldplay,Ghost Stories,2014-05-19,89,0.545,0.675,6,-6.474,1,0.0279,0.00617,0.00197,0.209,0.162,124.97,267867,4
Apple Pie,Travis Scott,Rodeo,2015-09-04,71,0.655,0.496,3,-4.139,0,0.0364,0.0335,0.0,0.156,0.28,137.945,219360,4
Still Dreaming,Nas,Hip Hop Is Dead (Expanded Edition),2007-01-23,64,0.547,0.825,7,-8.499,1,0.212,0.105,0.000248,0.14,0.589,119.743,217827,5
That Go! (feat. T-Shyne),Young Stoner Life,Slime Language 2,2021-04-16,54,0.713,0.575,1,-6.706,1,0.0501,0.00669,0.0,0.169,0.189,145.95,226400,4
THank god 4 me,ScHoolboy Q,BLUE LIPS,2024-03-01,35,0.721,0.566,2,-7.871,1,0.196,0.652,0.0,0.112,0.415,136.017,177261,4
THat Part,ScHoolboy Q,Blank Face LP,2016-07-08,63,0.927,0.535,6,-7.59,0,0.0911,0.0855,0.0,0.136,0.336,112.96,313573,4
White Dress,Various Artists,The Man with the Iron Fists (Original Motion Picture Soundtrack),2012-10-22,60,0.634,0.803,8,-7.569,1,0.399,0.595,0.0,0.122,0.574,92.747,215187,4
Champions,Various Artists,Champions,2016-06-10,67,0.692,0.774,6,-2.48,0,0.0876,0.0623,0.0,0.873,0.349,134.952,334253,4
Beware,Big Sean,Hall Of Fame (Deluxe),2013-01-01,73,0.7,0.554,1,-5.909,1,0.187,0.219,1.36e-06,0.419,0.0633,97.127,235187,4
Ok Ok,Kanye West,Donda,2021-08-29,59,0.738,0.471,11,-9.208,0,0.402,0.319,1.28e-06,0.13,0.283,107.98,204630,5
Kyouran Hey Kids!!,THE ORAL CIGARETTES,FIXION,2016-01-05,71,0.526,0.981,8,-1.82,1,0.111,0.00318,0.00161,0.187,0.781,142.016,250973,4
Guren no Yumiya,Linked Horizon,Shingeki no Kiseki,2017-05-17,68,0.455,0.952,1,-6.382,0,0.0787,0.0232,5.65e-05,0.0662,0.332,90.365,310680,4
Shinzo wo Sasageyo !,Linked Horizon,Shingeki no Kiseki,2017-05-17,70,0.44,0.983,0,-4.36,1,0.0868,0.22,0.0,0.26,0.203,159.968,341413,4
HUNTING FOR YOUR DREAM,GALNERYUS,ANGEL OF SALVATION,2012-10-10,28,0.277,0.925,11,-3.532,1,0.0586,3.82e-06,8.36e-06,0.0877,0.36,178.036,324480,4
again,YUI,HOLIDAYS IN THE SUN,2010-07-14,68,0.595,0.83,4,-3.836,0,0.0379,0.046,0.0,0.361,0.494,139.922,254347,4
Fantasy,Mariah Carey,Daydream,1995-10-03,80,0.669,0.727,7,-7.588,1,0.0353,0.139,0.0,0.123,0.807,102.322,243493,4
Obsessed,Mariah Carey,Memoirs of an imperfect Angel,2009-09-29,73,0.742,0.468,10,-5.557,0,0.0625,0.0465,0.0,0.826,0.369,86.443,242200,4
We Belong Together,Mariah Carey,The Emancipation of Mimi,2005-04-12,75,0.837,0.462,0,-7.89,1,0.0601,0.0339,0.0,0.09,0.762,139.986,201400,4
Through the Fire,Chaka Khan,I Feel for You,1984,65,0.563,0.593,8,-7.099,1,0.0322,0.192,1.85e-05,0.145,0.428,130.744,288653,4
>one - greater than one,VALORANT,>one (greater than one),2023-03-04,67,0.612,0.797,6,-6.185,0,0.103,0.0391,0.0,0.0861,0.816,89.958,130667,4
Slide (feat. Frank Ocean & Migos),Calvin Harris,Funk Wav Bounces Vol.1,2017-06-30,75,0.736,0.795,1,-3.299,0,0.0545,0.498,1.21e-06,0.254,0.511,104.066,230813,4
Only One,Kanye West,Only One,2015-01-08,60,0.732,0.243,0,-6.023,1,0.0435,0.939,0.0,0.111,0.106,102.087,280227,4
Diet Coke,Pusha T,It's Almost Dry,2022-04-22,56,0.697,0.942,10,-2.975,0,0.372,0.136,0.0,0.0463,0.789,163.9,180165,4
Neck & Wrist (feat. JAY-Z & Pharrell Williams),Pusha T,It's Almost Dry,2022-04-22,54,0.625,0.542,9,-4.365,1,0.266,0.0223,0.0,0.377,0.328,152.403,209315,4
